Set,Name,speaker,text,label
training,q1ec4.txt,f,edge of the fine pine,check
training,q1ec4.txt,g,the pine forest uh-huh,reply_y
training,q1ec4.txt,g,and then down south,instruct
training,q1ec4.txt,f,mm,acknowledge
training,q1ec4.txt,g,um and then curve to the east above a bakery,instruct
training,q1ec4.txt,f,no so you do you want me to go right round pine forest,check
training,q1ec4.txt,g,no,reply_n
training,q1ec4.txt,g,just 'til you're underneath it and then go south when you're underneath it,clarify
training,q1ec4.txt,f,like have you got a forest stream,query_yn
training,q1ec4.txt,g,no,reply_n
training,q1ec4.txt,f,right,ready
training,q1ec4.txt,f,so i've to go above the bakery down and and round,check
training,q1ec4.txt,g,mmhmm,reply_y
training,q1ec4.txt,f,top of the bakery,check
training,q1ec4.txt,g,uh-uh 'til you're above the bakery,clarify
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,right,align
training,q1ec4.txt,g,and then curve round about the bakery like to the east,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,right so you're underneath the bakery,align
training,q1ec4.txt,f,right,reply_y
training,q1ec4.txt,g,right,align
training,q1ec4.txt,g,and then go west,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,reach a canal,query_yn
training,q1ec4.txt,f,no,reply_n
training,q1ec4.txt,g,um right,ready
training,q1ec4.txt,g,and then go south,instruct
training,q1ec4.txt,g,and there's a crane bay,explain
training,q1ec4.txt,f,mmhmm,acknowledge
training,q1ec4.txt,f,mmhmm,acknowledge
training,q1ec4.txt,g,right,align
training,q1ec4.txt,g,now,ready
training,q1ec4.txt,g,curve to the west like above the crane bay like following the edge of it,instruct
training,q1ec4.txt,f,mmhmm,acknowledge
training,q1ec4.txt,g,right,align
training,q1ec4.txt,g,'til you you're coming to like going away from the edge of it,instruct
training,q1ec4.txt,f,mmhmm,acknowledge
training,q1ec4.txt,g,and then it's southwest slightly going round about underneath wheatfields,instruct
training,q1ec4.txt,f,mmhmm,acknowledge
training,q1ec4.txt,g,right underneath the wheatfields,align
training,q1ec4.txt,g,and keep going west 'til you're just about past the wheatfields,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,right,align
training,q1ec4.txt,g,and then go down southwest,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,right,align
training,q1ec4.txt,g,towards the edge of the map,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,and then south and then curve back round again southeast 'til you come to the lighthouse,instruct
training,q1ec4.txt,f,well,ready
training,q1ec4.txt,g,so you went south and then you're going southeast you're going towards the east more or less,instruct
training,q1ec4.txt,f,see it does that mean like if you between the caves and the the warehouse um,query_yn
training,q1ec4.txt,f,i'll just get to the lighthouse,explain
training,q1ec4.txt,g,mmhmm,acknowledge
training,q1ec4.txt,f,is that how it finish,query_yn
training,q1ec4.txt,g,take it to the lighthouse,clarify
training,q1ec4.txt,g,uh-huh and that's it finished,reply_y
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,right,align
training,q1ec4.txt,f,right,reply_y
training,q1ec5.txt,g,okay,ready
training,q1ec5.txt,g,now you're starting ehm above the diamond mine,instruct
training,q1ec5.txt,f,mmhmm,acknowledge
training,q1ec5.txt,g,and er the desert is below to your left,explain
training,q1ec5.txt,f,uh-huh,acknowledge
training,q1ec5.txt,g,right,align
training,q1ec5.txt,g,now,ready
training,q1ec5.txt,g,go go south from the diamond mine until you are still above the desert,instruct
training,q1ec5.txt,g,okay,align
training,q1ec5.txt,f,okay,reply_y
training,q1ec5.txt,g,now,ready
training,q1ec5.txt,g,if you tell me what's to your right at the what's to your right,query_w
training,q1ec5.txt,f,ehm,ready
training,q1ec5.txt,f,the canoes,reply_w
training,q1ec5.txt,g,canoes,acknowledge
training,q1ec5.txt,f,and a fast running creek,reply_w
training,q1ec5.txt,g,and a fast running creek,acknowledge
training,q1ec5.txt,g,and do you have a graveyard,query_yn
training,q1ec5.txt,f,no,reply_n
training,q1ec5.txt,g,do you have a carved wooden pole in this area,query_yn
training,q1ec5.txt,f,right away down the very bottom,reply_w
training,q1ec5.txt,g,right okay,acknowledge
training,q1ec5.txt,g,now,ready
training,q1ec5.txt,g,go go right from the diamond mine,instruct
training,q1ec5.txt,f,okay,acknowledge
training,q1ec5.txt,g,okay,align
training,q1ec5.txt,g,now you've got to pass,instruct
training,q1ec5.txt,g,there's actually a graveyard to the right of the diamond mine on my map,explain
training,q1ec5.txt,f,below it,query_yn
training,q1ec5.txt,g,no,reply_n
training,q1ec5.txt,g,on the same level as the diamond mine,explain
training,q1ec5.txt,f,mm,acknowledge
training,q1ec5.txt,g,and so you're going to you're going to pass by the graveyard as well,instruct
training,q1ec5.txt,f,mm,acknowledge
training,q1ec5.txt,g,and then you're going to go up and over the top of the uh,instruct
training,q1ec5.txt,g,what i've got is a fast flowing river,explain
training,q1ec5.txt,f,mmhmm,acknowledge
training,q1ec5.txt,g,do you have you have your,query_yn
training,q1ec5.txt,f,fast running creek,reply_w
training,q1ec5.txt,g,fast running creek,acknowledge
training,q1ec5.txt,g,where is that on a level with the diamond mine or is it slightly below,query_w
training,q1ec5.txt,f,it's just slightly above,reply_w
training,q1ec5.txt,g,slightly above,check
training,q1ec5.txt,g,right,ready
training,q1ec5.txt,g,well i've got a fast flowing river here,explain
training,q1ec5.txt,g,so,ready
training,q1ec5.txt,g,what you'd best to do is go along past the bottom go along okay sorry go along to your right and veer slightly upwards as you reach the creek,instruct
training,q1ec5.txt,f,mmhmm,acknowledge
training,q1ec5.txt,g,and then go over and round the creek to your right,instruct
training,q1ec5.txt,g,and then ehm,ready
training,q1ec5.txt,g,do you have an apache camp,query_yn
training,q1ec5.txt,f,uh-huh,reply_y
training,q1ec5.txt,g,right,ready
training,q1ec5.txt,g,see when you're over the top of the fast or your creek or the river that i've got here when you're over the top of that and in line vertically in line with the apache camp,align
training,q1ec5.txt,f,mmhmm,reply_y
training,q1ec5.txt,f,mmhmm,reply_y
training,q1ec5.txt,g,go south until just above the apache camp,instruct
training,q1ec5.txt,f,okay,acknowledge
training,q1ec5.txt,g,right,align
training,q1ec5.txt,g,when you reach the apache camp,instruct
training,q1ec5.txt,g,ehm do you have a walled city,query_yn
training,q1ec5.txt,f,right away on the far left,reply_w
training,q1ec5.txt,g,right,ready
training,q1ec5.txt,g,well you're going to go from above the apache camp to the walled city but you've got to avoid a carved wooden pole,instruct
training,q1ec5.txt,g,which in my map is slightly above the level of the apache camp,explain
training,q1ec5.txt,f,no this is vertically in line with the walled city below it,explain
training,q1ec5.txt,g,right,acknowledge
training,q1ec5.txt,f,okay so,ready
training,q1ec5.txt,g,right i've got one of them as well,explain
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,so,ready
training,q1ec5.txt,g,but there's another one a carved wooden pole here which is halfway between the walled city and the apache camp,explain
training,q1ec5.txt,g,okay,align
training,q1ec5.txt,f,mmhmm,reply_y
training,q1ec5.txt,g,but slightly above the level of the apache camp,explain
training,q1ec5.txt,f,so,ready
training,q1ec5.txt,f,i'd be better to go underneath it,check
training,q1ec5.txt,g,okay,align
training,q1ec5.txt,g,uh-huh,reply_y
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,so you've got so you're going from above the apache camp underneath the carved wooden pole and over the top of the walled city,align
training,q1ec5.txt,g,and then when you reach the far your left-hand side of the walled city travel southwards until you come to the level of some flat rocks,instruct
training,q1ec5.txt,f,uh-huh,acknowledge
training,q1ec5.txt,g,and go,instruct
training,q1ec5.txt,g,do you have a stone creek,query_yn
training,q1ec5.txt,f,uh-huh,reply_y
training,q1ec5.txt,g,right so,ready
training,q1ec5.txt,g,what i want you to do is go between the flat rocks and the stone creek,instruct
training,q1ec5.txt,g,but do you have anything between the walled city and the carved wooden pole,query_yn
training,q1ec5.txt,f,ghost town,reply_w
training,q1ec5.txt,g,a ghost town,check
training,q1ec5.txt,g,so you're going to,instruct
training,q1ec5.txt,g,that's not on my map,explain
training,q1ec5.txt,g,you've got to avoid that i think,instruct
training,q1ec5.txt,f,okay,acknowledge
training,q1ec5.txt,g,so go south down past the walled city underneath your ghost town and then slightly up sort of northeast direction between the flat rocks and the stone creek,instruct
training,q1ec5.txt,f,between,acknowledge
training,q1ec5.txt,f,well,ready
training,q1ec5.txt,f,it'd be better if i between the walled city and the ghost town no to go underneath it above it,explain
training,q1ec5.txt,f,or have you got something else there,query_yn
training,q1ec5.txt,g,i've not got anything between the carved wooden pole and the walled city,reply_n
training,q1ec5.txt,g,"but the map shows a curve a ""c""-shaped curve",explain
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,f,score that out,explain
training,q1ec5.txt,g,right,align
training,q1ec5.txt,f,right,reply_y
training,q1ec5.txt,g,and sort of and then slightly up underneath the flat rocks and above the stone creek,instruct
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,okay,align
training,q1ec5.txt,g,then,ready
training,q1ec5.txt,g,go slightly to your right beyond the flat rocks until you are above the level of the buffalo,instruct
training,q1ec5.txt,f,so i i'll be avoiding the saloon bar,check
training,q1ec5.txt,g,i don't have a saloon bar here,explain
training,q1ec5.txt,f,i've got here,check
training,q1ec5.txt,g,right,ready
training,q1ec5.txt,g,okay so avoid the saloon bar,reply_y
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,and ehm then right then ehm,ready
training,q1ec5.txt,g,just straight down to the right of the buffalo,instruct
training,q1ec5.txt,f,to the right,check
training,q1ec5.txt,g,so that so that you're on you're on the right of the buffalo,clarify
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,okay,align
training,q1ec5.txt,g,and go underneath the buffalo,instruct
training,q1ec5.txt,g,now,ready
training,q1ec5.txt,g,do you have a cattle ranch,query_yn
training,q1ec5.txt,f,no,reply_n
training,q1ec5.txt,g,ehm do you have a fort,query_yn
training,q1ec5.txt,f,mmhmm,reply_y
training,q1ec5.txt,g,so you're going to go from the buffalo to the fort but you've got to avoid the cattle ranch on the way and you'll have to go up and over the top of the cattle ranch,instruct
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,which on my map is halfway between the buffalo and the fort,explain
training,q1ec5.txt,g,okay,align
training,q1ec5.txt,f,right,reply_y
training,q1ec5.txt,f,that on the the level between the fort mm,query_yn
training,q1ec5.txt,g,it's almost on level with the fort but it's slightly higher than the fort,reply_w
training,q1ec5.txt,f,so,check
training,q1ec5.txt,g,so you need to be go up on a sort of hill,clarify
training,q1ec5.txt,f,mmhmm,acknowledge
training,q1ec5.txt,g,over the cattle ranch,clarify
training,q1ec5.txt,g,underneath buffalo or over the cattle ranch,clarify
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,then underneath the fort,instruct
training,q1ec5.txt,f,under the fort,check
training,q1ec5.txt,g,underneath the fort uh-huh,reply_y
training,q1ec5.txt,g,and come out at the left-hand side of the fort and finishing ehm not beside but on the same level as the the carved wooden pole the base of the carved wooden pole,instruct
training,q1ec5.txt,f,right,acknowledge
training,q1ec5.txt,g,okay that's you finished,instruct
training,q1ec5.txt,f,okay,acknowledge
training,q1ec7.txt,g,okay right,ready
training,q1ec7.txt,g,i'm starting off from above the caravan park,instruct
training,q1ec7.txt,f,mmhmm,acknowledge
training,q1ec7.txt,g,okay,align
training,q1ec7.txt,f,mmhmm,reply_y
training,q1ec7.txt,g,right,ready
training,q1ec7.txt,g,and we're going to go and straight down south with the caravan park on your right-hand side,instruct
training,q1ec7.txt,f,okay,acknowledge
training,q1ec7.txt,g,okay,align
training,q1ec7.txt,g,"and you're going to go down and then you're going to do a ""u"" shape",instruct
training,q1ec7.txt,f,uh-huh,acknowledge
training,q1ec7.txt,g,and we're going to come up and we're going to have the old,instruct
training,q1ec7.txt,f,ehm are we just going are we going to go below the picket fence,query_yn
training,q1ec7.txt,g,below what,query_w
training,q1ec7.txt,f,the picket picket fence,reply_w
training,q1ec7.txt,g,picket fence,acknowledge
training,q1ec7.txt,g,i don't have one so i would say,explain
training,q1ec7.txt,g,whereabouts is the picket fence,query_w
training,q1ec7.txt,f,picket fence is below the mill wheel which is below the caravan park,reply_w
training,q1ec7.txt,g,right okay well,ready
training,q1ec7.txt,g,you want to have the old mill on your right-hand side so if that fence is below the old mill you want to keep that on your right-hand side,reply_w
training,q1ec7.txt,f,okay,acknowledge
training,q1ec7.txt,g,okay,align
training,q1ec7.txt,g,so you're going to come up and then you're going to come above the old mill and turn,instruct
training,q1ec7.txt,f,old mill,check
training,q1ec7.txt,g,old mill,reply_y
training,q1ec7.txt,f,oh right,acknowledge
training,q1ec7.txt,f,i've just got the mill wheel,explain
training,q1ec7.txt,g,mill you've only got a mill wheel,check
training,q1ec7.txt,g,right okay,acknowledge
training,q1ec7.txt,f,uh-huh,reply_y
training,q1ec7.txt,g,but continue past that,instruct
training,q1ec7.txt,f,so i'm going down below the picket fence,check
training,q1ec7.txt,g,right,ready
training,q1ec7.txt,g,we've come down from a caravan park,align
training,q1ec7.txt,f,mmhmm,reply_y
training,q1ec7.txt,g,"and we're doing a ""u"" shape",align
training,q1ec7.txt,f,mmhmm,reply_y
training,q1ec7.txt,g,okay on the and then you're going to proceed north right,align
training,q1ec7.txt,f,"hang on where's the ""u"" shape just underneath the mill",query_yn
training,q1ec7.txt,f,just underneath the caravan park,query_yn
training,q1ec7.txt,g,no no,reply_n
training,q1ec7.txt,g,yeah,reply_y
training,q1ec7.txt,f,right,acknowledge
training,q1ec7.txt,g,"the caravan park is directly above the the base of the ""u""",explain
training,q1ec7.txt,f,above right,acknowledge
training,q1ec7.txt,f,you're okay right,acknowledge
training,q1ec7.txt,g,right okay,align
training,q1ec7.txt,f,right right,reply_y
training,q1ec7.txt,g,and you're going to come up and the old mill well my old mill is going to be on the right so your mill wheel and the picket fence is going to be on the right-hand side,instruct
training,q1ec7.txt,f,right,acknowledge
training,q1ec7.txt,g,okay,align
training,q1ec7.txt,f,uh-huh,reply_y
training,q1ec7.txt,g,so you come up to above the old mill,instruct
training,q1ec7.txt,f,uh-huh,acknowledge
training,q1ec7.txt,g,just above the old mill,instruct
training,q1ec7.txt,g,and then turn right slightly sort of ten degrees or something and turn east,instruct
training,q1ec7.txt,f,right okay,acknowledge
